cityid,cityname,lattitude,longitude
51525,"Thane,Thane,400601,MAHARASHTRA",19.19768906,72.9704361
51526,"Thane R.S.,Thane,400601,MAHARASHTRA",19.19768906,72.9704361
51527,"Gokhale Road (Thane),Thane,400602,MAHARASHTRA",19.1986866,72.96475983
51528,"Naupada (Thane),Thane,400602,MAHARASHTRA",19.1986866,72.96475983
51529,"Kopri Colony,Thane,400603,MAHARASHTRA",19.19612503,72.99481201
51530,"Thane East,Thane,400603,MAHARASHTRA",19.19612503,72.99481201
51531,"Wagle I.E.,Thane,400604,MAHARASHTRA",19.19385338,72.95346832
51532,"Kalwa,Thane,400605,MAHARASHTRA",19.19624519,72.99047089
51533,"Jekegram,Thane,400606,MAHARASHTRA",19.21842957,72.95575714
51534,"Chitalsar Manpada,Thane,400607,MAHARASHTRA",19.23658371,73.02674103
51535,"Sandozbaugh,Thane,400607,MAHARASHTRA",19.23658371,73.02674103
51536,"Balkum,Thane,400608,MAHARASHTRA",19.21999741,72.99108124
51537,"Shrirangnagar,Thane,400608,MAHARASHTRA",19.21999741,72.99108124
51538,"Tapasenagar,Thane,400608,MAHARASHTRA",19.21999741,72.99108124
51539,"Apna Bazar,Thane,400610,MAHARASHTRA",19.22250938,72.96414185
51540,"Dahisar,Thane,400612,MAHARASHTRA",19.1756134,73.03321075
51541,"Dawale,Thane,400612,MAHARASHTRA",19.1756134,73.03321075
51542,"Diwa,Thane,400612,MAHARASHTRA",19.1756134,73.03321075
51543,"Kausa,Thane,400612,MAHARASHTRA",19.1756134,73.03321075
51544,"Mumbra,Thane,400612,MAHARASHTRA",19.1756134,73.03321075
51545,"Waklan,Thane,400612,MAHARASHTRA",19.1756134,73.03321075
51546,"Belapur Node-- III,Thane,400614,MAHARASHTRA",19.02094078,73.03898621
51547,"Belapur Node- V,Thane,400614,MAHARASHTRA",19.02094078,73.03898621
51548,"Konkan Bhavan,Thane,400614,MAHARASHTRA",19.02094078,73.03898621
51549,"Kasarvadavali,Thane,400615,MAHARASHTRA",19.23070526,72.97879791
51550,"Ghansoli,Thane,400701,MAHARASHTRA",19.12649727,73.00136566
51551,"Bokadvira,Raigarh(MH),400702,MAHARASHTRA",18.88104057,72.94470978
51552,"Chanje,Raigarh(MH),400702,MAHARASHTRA",18.88104057,72.94470978
51553,"Karanja,Raigarh(MH),400702,MAHARASHTRA",18.88104057,72.94470978
